序号,数据表/层级,字段名,语义类型,存储类型,单位,必填,记录变化维度,模型输入权限,示例值,字段说明,约束/备注,实现阶段
49,runs,trajectory_seed,随机种子,int64,—,是,按Run固定,不可用,138201,速度轨迹随机种子,同一严格配对world共享,第一版核心
50,runs,shadow_seed,随机种子,int64,—,是,按Run固定,不可用,138202,阴影场随机种子,同一world共享,第一版核心
51,runs,fading_seed,随机种子,int64,—,是,按Run固定,不可用,138203,小尺度衰落随机种子,共享规则由pair_mode确定,第一版核心
52,runs,receiver_seed,随机种子,int64,—,是,按Run固定,不可用,138204,接收机噪声随机种子,strict_frozen共享，operational_replicate可独立,第一版核心
53,runs,fault_seed,随机种子,int64,—,条件,按Run固定,不可用,138205,故障参数随机种子,健康Run可为空,第一版条件
54,runs,travel_direction,运行状态,int8(enum),—,是,按Run固定,条件可用,1,列车行驶方向,1为正向，-1为反向,第一版核心
55,runs,speed_profile_type,运行配置,string(enum),—,是,按Run固定,条件可用,accelerate_cruise_decelerate,速度工况类型,取值见枚举与约束,第一版核心
56,runs,trajectory_start_time,时间信息,datetime,—,否,按Run固定,不可用,2026-07-31T08:00:00Z,仿真起始时间,建议使用ISO 8601 UTC,第一版可选
57,runs,duration_s,运行统计,float64,s,是,按Run固定,条件可用,60.0,完整Run时长,必须为正数,第一版核心
58,runs,faulty_ap_id,故障真值,string|null,—,是,按Run固定,不可用,AP-002,实际故障AP,健康Run必须为空；第一版故障Run只允许一个,第一版核心
59,runs,fault_type,故障真值,string(enum),—,是,按Run固定,不可用,antenna_1_power_loss,故障类型,健康Run取healthy,第一版核心
60,runs,fault_severity,故障真值,string(enum),—,是,按Run固定,不可用,moderate,故障严重度,健康Run取none,第一版核心
61,runs,fault_parameters_json,故障真值,json|null,—,条件,按Run固定,不可用,"{""drop_db"":6.0}",故障物理参数,健康Run为空；字段名和单位必须版本化,第一版条件
62,runs,fault_start_s,故障真值,float64|null,s,条件,按Run固定,不可用,0.0,故障开始时间,持续故障通常为0,第一版条件
63,runs,fault_end_s,故障真值,float64|null,s,条件,按Run固定,不可用,60.0,故障结束时间,不得早于fault_start_s,第一版条件
64,runs,generator_version,版本审计,string,—,是,按Run固定,不可用,0.2.0-dev,生成器版本,必须与产物清单一致,第一版核心
65,runs,schema_version,版本审计,string,—,是,按Run固定,不可用,rssi-dataset-v1,数据模式版本,字段契约变化时升级,第一版核心
66,runs,run_config_hash,版本审计,string,—,是,按Run固定,不可用,sha256:…,Run有效配置哈希,相同配置和种子应可复现,第一版核心
67,runs,created_at,版本审计,datetime,—,是,按Run固定,不可用,2026-07-31T10:30:00Z,生成时间,ISO 8601 UTC,第一版核心
68,runs,quality_flag,质量标志,string(enum),—,是,按Run固定,不可用,pass,Run质量状态,取值pass/warn/fail,第一版核心
69,runs,notes,描述信息,string|null,—,否,按Run固定,不可用,高阴影试验,补充说明,不得替代结构化字段,第一版可选
70,samples,scenario_id,外键,string,—,是,按Sample固定,不可用,scenario_001,所属场景,必须存在于scenarios,第一版核心
71,samples,run_id,外键,string,—,是,按Sample固定,不可用,run_000123,所属Run,必须存在于runs,第一版核心
72,samples,sample_id,复合主键,string,—,是,按Sample固定,不可用,sample_000123,诊断样本标识,与scenario_id、run_id组合唯一,第一版核心
73,samples,target_ap_id,诊断目标,string,—,是,按Sample固定,条件可用,AP-002,当前要求模型检查的AP,必须存在于scenario_aps,第一版核心
74,samples,target_label,目标标签,string(enum),—,是,按Sample固定,不可用,antenna_1_power_loss,目标AP状态标签,第一版为健康或五类故障,第一版核心
75,samples,is_target_faulty,派生真值,bool,—,是,按Sample固定,不可用,true,目标AP是否为实际故障AP,等于target_ap_id==faulty_ap_id,第一版核心
76,samples,window_start_m,样本边界,float64,m,是,按Sample固定,不可用,-150.0,Sample线路窗口起点,必须小于window_end_m,第一版核心
77,samples,window_end_m,样本边界,float64,m,是,按Sample固定,不可用,150.0,Sample线路窗口终点,必须大于window_start_m,第一版核心
78,samples,context_margin_m,样本边界,float64,m,是,按Sample固定,不可用,30.0,相邻AP中点外额外上下文,必须非负,第一版核心
79,samples,sample_start_time_s,样本边界,float64,s,是,按Sample固定,不可用,15.0,Sample起始时刻,位于Run时长内,第一版核心
80,samples,sample_end_time_s,样本边界,float64,s,是,按Sample固定,不可用,35.0,Sample结束时刻,不得早于sample_start_time_s,第一版核心
81,samples,context_ap_ids,上下文定义,list<string>,—,是,按Sample固定,条件可用,"[""AP-001"",""AP-002"",""AP-003""]",Sample中保留的候选AP顺序,必须包含target_ap_id；顺序固定,第一版核心
82,samples,observation_file,文件路径,string,—,是,按Sample固定,不可用,observations/sample_000123.parquet,Observation文件相对路径,文件必须存在并通过哈希校验,第一版核心
83,samples,sample_point_count,样本统计,int32,行,是,按Sample固定,不可用,2400,Sample观测行数,应与Observation实际行数一致,第一版核心
84,samples,sample_duration_s,样本统计,float64,s,是,按Sample固定,不可用,20.0,Sample持续时间,通常等于结束时间减开始时间,第一版核心
85,samples,sample_quality_flag,质量标志,string(enum),—,是,按Sample固定,不可用,pass,Sample质量状态,取值pass/warn/fail,第一版核心
86,observations,scenario_id,外键,string,—,是,样本内固定,不可用,scenario_001,所属场景,必须与Sample一致,第一版核心
87,observations,run_id,外键,string,—,是,样本内固定,不可用,run_000123,所属Run,必须与Sample一致,第一版核心
88,observations,sample_id,外键,string,—,是,样本内固定,不可用,sample_000123,所属Sample,必须存在于samples,第一版核心
89,observations,sample_index,时序索引,int32,—,是,随时刻,不可用,200,Sample内部报告时刻序号,同一obm_id上单调递增,第一版核心
90,observations,time_s,时间坐标,float64,s,是,随时刻,可用,25.00,Run内经过时间,每条AP-OBM链路内单调递增,第一版核心
91,observations,position_m,空间坐标,float64,m,是,随时刻,可用,-48.0,当前OBM线路位置,同一时刻不同OBM位置可不同,第一版核心
92,observations,speed_mps,运动观测,float64,m/s,是,随时刻,可用,20.0,当前速度,非负；方向另由travel_direction表示,第一版核心
93,observations,travel_direction,运行状态,int8(enum),—,是,随时刻,条件可用,1,当前行驶方向,1或-1,第一版核心
94,observations,ap_id,候选链路标识,string,—,是,按候选AP,条件可用,AP-002,本行RSSI所属候选AP,必须存在于scenario_aps,第一版核心
95,observations,obm_id,候选链路标识,string,—,是,按OBM,条件可用,OBM-front,本行RSSI所属OBM,必须存在于scenario_obms,第一版核心
96,observations,rssi_dbm,原始测量值,float64|null,dBm,是,随时刻,可用,-51.5,接收机上报RSSI,无效或缺失时可为空并配合质量字段,第一版核心
97,observations,serving_ap_id,连接状态,string|null,—,是,随时刻×OBM,条件可用,AP-002,该时刻该OBM实际连接的AP,自然键为run_id+time_s+obm_id；断连时为空,第一版核心
98,observations,is_serving,连接状态,bool,—,是,随时刻×AP×OBM,可用,true,本行ap_id是否为服务AP,等于ap_id==serving_ap_id,第一版核心
99,observations,handover_state,连接状态,string(enum),—,否,随时刻,条件可用,stable,切换状态机状态,取值见枚举与约束,第一版可选
100,observations,selected_antenna_id,设备状态,string(enum),—,否,随时刻,条件可用,antenna_1,目标AP内部被选中的天线支路,仅在研究需要时公开,第一版可选
101,observations,is_valid,质量标志,bool,—,是,随时刻,可用,true,RSSI是否可作为有效观测,无效值不得直接参与插值,第一版核心
102,observations,receiver_status,质量状态,string(enum),—,是,随时刻,条件可用,ok,接收机报告状态,取值见枚举与约束,第一版核心
103,observations,missing_reason,质量说明,string|null,—,否,随时刻,不可用,below_sensitivity,缺失或无效原因,is_valid=true时通常为空,第一版可选
104,fault_events,run_id,外键,string,—,是,按故障事件,不可用,run_000123,所属Run,必须存在于runs,后续扩展
105,fault_events,fault_event_id,主键,string,—,是,按故障事件,不可用,fault_evt_001,故障事件标识,全数据集唯一,后续扩展
106,fault_events,faulty_ap_id,故障真值,string,—,是,按故障事件,不可用,AP-002,事件作用AP,第一版每个Run最多一个AP,后续扩展
107,fault_events,fault_type,故障真值,string(enum),—,是,按故障事件,不可用,antenna_1_power_loss,事件故障类型,取值见枚举与约束,后续扩展
108,fault_events,fault_severity,故障真值,string(enum),—,是,按故障事件,不可用,moderate,事件严重度,取值见枚举与约束,后续扩展
109,fault_events,start_time_s,事件区间,float64,s,是,按故障事件,不可用,0.0,事件开始时刻,位于Run时长内,后续扩展
110,fault_events,end_time_s,事件区间,float64,s,是,按故障事件,不可用,60.0,事件结束时刻,不得早于开始时刻,后续扩展
111,fault_events,fault_parameters_json,故障真值,json,—,是,按故障事件,不可用,"{""drop_db"":6.0}",故障参数,必须符合故障类型对应模式,后续扩展
112,fault_events,is_persistent,事件状态,bool,—,是,按故障事件,不可用,true,是否贯穿整个Run,若为true通常覆盖完整Run,后续扩展
113,splits,scenario_id,外键,string,—,是,按Sample记录,不可用,scenario_001,所属场景,必须存在于scenarios,第一版核心
114,splits,run_id,外键,string,—,是,按Sample记录,不可用,run_000123,所属Run,必须存在于runs,第一版核心
115,splits,sample_id,外键,string,—,是,按Sample记录,不可用,sample_000123,所属Sample,必须存在于samples,第一版核心
116,splits,world_id,分组键,string,—,是,按Sample记录,不可用,world_000021,划分审计分组,同一world只允许出现在一个split,第一版核心
117,splits,split_name,数据划分,string(enum),—,是,按Sample记录,不可用,train,官方数据划分,train/validation/test_id/test_ood,第一版核心
118,splits,split_version,版本审计,string,—,是,按Sample记录,不可用,split-v1,划分版本,正式发布后冻结,第一版核心
119,model_inputs,sample_id,外键,string,—,是,按Sample派生,不可用,sample_000123,来源Sample,必须存在于samples,派生输出
120,model_inputs,input_file,文件路径,string,—,是,按Sample派生,不可用,model_inputs/X_v1.npz,模型输入文件,属于派生数据，可由原始Observation重建,派生输出
121,model_inputs,sequence_length,张量结构,int32,步,是,按Sample派生,不可用,256,定长序列长度,必须大于1,派生输出
122,model_inputs,time_step_s,张量结构,float64,s,是,按Sample派生,不可用,0.05,模型序列时间步长,必须为正数,派生输出
123,model_inputs,channel_order_json,张量结构,json,—,是,按Sample派生,不可用,"[""AP-1/front"",""AP-1/rear""]",AP-OBM通道顺序,训练和推理必须完全一致,派生输出
124,model_inputs,feature_names_json,张量结构,json,—,是,按Sample派生,不可用,"[""rssi_dbm"",""speed_mps""]",模型特征顺序,训练和推理必须完全一致,派生输出
125,model_inputs,mask_file,文件路径,string,—,是,按Sample派生,不可用,model_inputs/mask_v1.npz,有效性掩码文件,必须与输入张量形状一致,派生输出
126,model_inputs,normalization_id,预处理引用,string,—,是,按Sample派生,不可用,norm_train_v1,归一化参数标识,只允许使用训练集拟合,派生输出
127,model_inputs,target_label,训练标签,string(enum),—,是,按Sample派生,不可用,antenna_1_power_loss,模型监督标签,不得包含在输入特征中,派生输出
128,model_inputs,label_schema_version,版本审计,string,—,是,按Sample派生,不可用,labels-v1,标签映射版本,模型加载时必须校验,派生输出
129,manifest,dataset_version,版本审计,string,—,是,按文件/版本,不可用,0.1.0,数据集版本,每次正式发布唯一,发布审计
130,manifest,schema_version,版本审计,string,—,是,按文件/版本,不可用,rssi-dataset-v1,字段模式版本,必须与各表一致,发布审计
131,manifest,generator_version,版本审计,string,—,是,按文件/版本,不可用,0.2.0-dev,生成器版本,必须与Run元数据一致,发布审计
132,manifest,source_commit,版本审计,string,—,是,按文件/版本,不可用,git:abcdef1,代码提交标识,应指向可获取的源代码版本,发布审计
133,manifest,root_seed,随机种子,int64,—,是,按文件/版本,不可用,20260731,数据集根种子,用于复现生成计划,发布审计
134,manifest,config_hash,版本审计,string,—,是,按文件/版本,不可用,sha256:…,全局配置哈希,配置改变必须更新,发布审计
135,manifest,dataset_fingerprint,完整性校验,string,—,是,按文件/版本,不可用,sha256:…,数据集指纹,覆盖关键数组、ID和元数据,发布审计
136,manifest,created_at,版本审计,datetime,—,是,按文件/版本,不可用,2026-07-31T10:30:00Z,数据集创建时间,ISO 8601 UTC,发布审计
137,manifest,file_path,文件路径,string,—,是,按文件/版本,不可用,observations/part-000.parquet,发布文件相对路径,不得使用本机绝对路径,发布审计
138,manifest,sha256,完整性校验,string,—,是,按文件/版本,不可用,3c1a…,文件SHA-256,每个发布文件一条记录,发布审计
139,manifest,evidence_level,证据等级,string(enum),—,是,按文件/版本,不可用,simulation_internal,结果证据等级,区分仿真内部、实测健康校准和真实故障验证,发布审计
